Date Time,Sentiment,Text,User Name,Retweets,Favorites
29-4-17,1, متضامن مع عمال مصريه اتصالات,,0,0
29-4-17,-1, عمال ارهابيون انهم اول واجهوا طوارئ اعتقال عمال مصريه اتصالات,,0,0
29-4-17,1, جون بركات مصريه اتصالات فيديو,,1,0
29-4-17,1, ماده ثانيه يقوم جهاز اتصالات شركه مصريه اتصالات بانشاء اداره مهمتها ا منح ترخيص باستعمال وسائل تواصل اجتماعي,,0,0
29-4-17,-1, فاصل عندي اثنين اللي فات شركه وسخه مصريه اتصالات تي ايه داتا,,0,1
28-4-17,1, شعار نادي مصريه اتصالات,,1,1
28-4-17,1, انترنت فاصل صبح ولسه جاي ماشي شركه وسخه مصريه اتصالات,,0,0
28-4-17,1, قي امن وطني صباح اليوم قبض استاذ حسام مختار لقاني ذي يعمل شركه مصريه اتصالات بسنترال,,0,1
28-4-17,1, عاجل ضبط واحضار حسام لقاني علي خلفيه ضبطيه سنترال رمسيس قضيه مصريه اتصالات وهو الان بقسم دمنهور,,0,0
28-4-17,1, استعلام فاتوره تليفون ارضي مصريه اتصالات معرفه فاتوره تليفون ارضي,,0,0
28-4-17,-1, دفعت فاتورتين خط تليفون رجع تكملوا اللي مصريه اتصالات بداوه وترجعوا انترنت,,0,0
27-4-17,-1, ابن عمتي مهندس شركه مصريه اتصالات مدير اعطال قال فعلا مشكله عندنا نفس كلام سنترال,,0,0
27-4-17,1, ملامح مشروع قانون لتقنين استخدام مواقع تواصل اجتماعي يقوم جهاز اتصالات شركه مصريه اتصالات بانشاء,,0,0
27-4-17,1, انضف انترنشيب حضرتها كانت مصريه اتصالات و وحيده اللي حضرتها,,1,3
27-4-17,1, مصريه اتصالات تنظم يوما ترفيهيا اطفال مرضي سرطان بمستشفيات جامعه عين شمس,,0,0
29-4-17,1, مفروض مصريه اتصالات اللي تحاسبلي نت الشهر والله وتدفعلي خمسينايه تعويض رصيد اللي فودافون بتسرقه مني,,0,2
28-4-17,1, لتخفيف عبء عنهم وذويهم مصريه اتصالات تنظم يوما ترفيهيا اطفال مرضي سرطان بمستشفيات جامعه عين شمس,,0,0
27-4-17,1, انتوا مصريين و مصريين هندخل مصريه اتصالات نعمل استني ياعم ماتخانقناش معاها ليه,,0,2
27-4-17,1, مصريه اتصالات تنظم يوما ترفيهيا اطفال مرضي سرطان,,0,0
27-4-17,1, مصريه اتصالات تنفي توقيع اتفاق حصول مليار جنيه,,0,0
27-4-17,-1, ميتين ام مصريه اتصالات شركه عقيمه بنت وسخه وخدمه عملاء بنت اوسخ,,0,0
27-4-17,1, ابريل شمس اسكان تناقش عرضا مصريه اتصالات قالت شمس اسكان تعمير مجلس اداره سيناقش في,,0,0
27-4-17,-1, بسبب فيسبوك نيابه تامر بضبط واحضار مزيد,,0,0
27-4-17,1, ابريل اداره شمس اسكان تناقش عرضا مصريه اتصالات مصر اقتصاد,,0,0
27-4-17,1, عارفين اللي ييجي يكحلها يعميها مصريه اتصالات قررت تغير ارقام تليفونات فتفصل عننا حراره نت تلات ايام بتظبط خطوط,,0,1
27-4-17,-1, مصريه اتصالات تنفي توقيع اتفاقيه قرض ب مليار جنيه مفاوضات مستمره نفت شركه مصريه اتصالات توقيعها,,0,0
27-4-17,1, بقالي خط تليفون مصريه اتصالات موصلينه غلط دعم فني بياخد,,0,0
27-4-17,1, بيان مصريه اتصالات بخصوص ماتم نشره اسم شركه مصريه اتصالات كود ترقيم دولي,,0,0
27-4-17,1, بيان مصريه اتصالات بخصوص ماتم نشره اسم شركه مصريه اتصالات كود ترقيم دولي,,0,0
27-4-17,-1, مصريه اتصالات مازلنا بمرحله تفاوض حصول قرض ولم نوقع اتفاقا,,0,0
27-4-17,-1, مصريه اتصالات تنفي توقيع اتفاقيه قرض ب مليار جنيه مفاوضات مستمره,,0,0
27-4-17,1, مصريه اتصالات يتم توقيع اتفاق حصول مليار جنيه مصر اقتصاد,,0,0
26-4-17,-1, فودافون اول مره اشحن رصيد معاد تجديد راحت قاطعه عليا نت عشان مصريه اتصالات عندهم عطل عا,,0,0
26-4-17,1, غلاء معيشه يربك حسابات مصريه اتصالات اخبار اخبار عالم عالم عربي رياضه ثقافه فن,,0,0
26-4-17,1, شركه مصريه اتصالات,,0,0
26-4-17,1, اطار تحول مصريه اتصالات مشغل اتصالات متكامل تغيير ترقيم بني سويف ليبدا ب بدلا و,,0,0
26-4-17,1, ماعلينا بس مصريه اتصالات اقسم بالله فتحتلي يومي مقفول ادفع بقي مره اشتراك نت بقي,,0,0
26-4-17,1, تنجح مصريه اتصالات تقديم محمول عبر مشغل واحد جريده بورصه,,0,0
26-4-17,1, مصريه اتصالات سنترال اسماعيليه,,0,0
26-4-17,-1, مصريه اتصالات تكشف موعد تشغيل خطوط محمول جديده,,0,0
26-4-17,1, واضح تاخير مصريه اتصالات لعدم وجود بورت سنترال عزيز,,0,0
25-4-17,-1, دستور مصريه اتصالات تكشف موعد تشغيل خطوط محمول جديده,,0,0
25-4-17,1, اعطال انترنت دائمه مصريه اتصالات بني سويف جزاء فسخي تعاقد شركه دي,,0,0
25-4-17,1, اخلاء سبيل عمال مصريه اتصالات بضمان محل اقامتهم,,0,0
25-4-17,-1, قصه عامل مصريه اتصالات مطالبه بتحسين رواتب قبض عليهم بتهمه تجمهر اخلاء سبيلهم بدايه,,0,0
25-4-17,1, حلو بقي موضوع وسط معمعمهدي مصريهللاتصالات تقرر انها تنقل منطقهعلي كابلات فايبر وتبدا قطع خدمه نفس ذات موممنت,,0,0
25-4-17,-1, نيابه ازبكيه تخلي سبيل عمال مصريه اتصالات ونيابه هرم تفرج اخرين عقب اعتقالهم اثناء وقفه احتجاجيه مطالبين بتحسين اجور,,0,1
25-4-17,1, نيابه تامر بضبط احضار عاملين ب مصريه اتصالات افراج محتجزين عمال مصريه اتصالات,,0,0
25-4-17,-1, استغاثه دكتور رئيس مجلس وزراء استغلال ونصب مصريه اتصالات لخدمات انترنت يسرقون اموالنا ولاخدمه واعطال مستمره,,0,0
25-4-17,-1, عاجل الي سيد رئيس جهاز مراقبه وتنظيم اتصالات شركه مصريه اتصالات لخدمات انترنت تسرقنا اغيوثونا موبايل,,0,0
25-4-17,-1, حجب اتصالات في مصر اسف شديد جدًا مصريه اتصالات قررت تتشملل وتحجب خدمه ال اجهزه اللي,,0,0
25-4-17,1, عاجل حقيقه مرتبات مصريه اتصالات,,0,0
